Contig	viruses_3097x_sr.mmi.139536_S27_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139537_S33_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139538_S35_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139539_COM_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139540_COM_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139541_S25_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139542_COM_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139543_S12_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139544_COM_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139545_S147_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139546_S148_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139547_S149_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139548_S150_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139549_S151_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139550_S152_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139551_S153_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139552_S154_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139553_S155_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139554_S156_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139555_S157_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139556_S158_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139557_S159_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139558_S160_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139560_S161_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139561_S162_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139562_S163_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139563_S164_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139564_S165_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139565_S166_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139566_S167_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139567_S168_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139568_S169_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139569_S170_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139570_S171_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139571_S172_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139572_S173_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139573_S174_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139574_S175_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139575_S176_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139576_S177_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139577_S178_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139578_S179_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139579_S180_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139580_S181_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139581_S182_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139582_S183_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139583_S184_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139584_S185_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139585_S186_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139586_S187_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139587_S188_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139588_S189_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139589_S190_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139590_S191_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD3106_S36_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD3107_S37_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD3108_S38_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD3109_S39_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD3110_S40_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD3111_S41_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD3112_S42_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD3113_S43_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD3114_S44_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD9007_COM_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD9008_S2_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD9009_S3_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD9010_S4_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD9011_COM_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD9012_S6_R1_001.fastq.gz_filtered Read Count
139536_S27_NODE_29_length_115120_cov_16.753000	20024	17756	15992	15628	15981	5736	8615	806	2043	8375	6321	6539	3792	3134	3088	348	343	607	190	683	529	633	441	397	661	127	269	31	41	49	144	137	46	37	43	98	17204	13547	20540	1631	1397	3305	57	21	82	2082	1172	2153	428	562	555	49	132	97	3537	2338	4328	4798	2510	4118	470	360	492	54	58	35	32	32	44
139536_S27_NODE_1199_length_25945_cov_7.096524	1948	1936	1653	3803	3502	1094	1441	205	416	236	140	164	73	92	92	9	39	115	0	0	0	10	4	0	0	26	29	0	0	4	0	2	0	0	7	0	0	2	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	8	0	0	6	0	0
139536_S27_NODE_1441_length_23032_cov_6.800888	1644	1877	1792	538	552	146	260	14	13	117	203	702	43	38	59	2	2	24	22	12	11	13	7	10	3	2	3	357	20	58	86	296	63	0	15	0	433	362	200	4	8	9	2	2	7	8	1	0	0	3	0	0	1	0	13	9	6	0	1	2	1	0	1	46	44	25	2	0	0
139537_S33_NODE_49_length_102425_cov_425.481948	409105	453704	449287	103278	119119	35412	49253	2438	5643	356	305	447	217	141	207	546	241	531	3	14	10	33	12	15	32	29	30	14	9	22	34	21	4	18	23	24	7128	4884	4653	271	242	467	10	16	51	3987	2445	4773	786	961	1080	97	197	176	3535	1854	3807	3098	1872	3094	1590	1272	1158	13	5	5	7	22	17
139537_S33_NODE_478_length_41594_cov_5.469607	1559	1817	1477	3045	3507	1085	1724	394	658	1031	440	732	666	773	638	6	4	34	31	300	138	172	81	93	17	30	26	0	0	2	25	26	18	2	6	0	66	50	54	14	26	40	1	4	4	120	44	109	57	71	113	0	7	0	63	43	61	239	164	55	37	55	32	9	24	19	7	5	6
139537_S33_NODE_560_length_39150_cov_4.313314	1433	1662	1452	1942	2151	661	1110	190	360	731	413	488	581	629	717	7	14	5	43	275	129	157	122	121	48	24	27	0	0	0	18	26	12	2	5	5	50	31	50	6	3	12	2	2	5	5	0	2	0	0	3	2	0	0	70	25	81	67	41	22	19	5	10	5	10	5	5	6	2
139537_S33_NODE_740_length_34306_cov_5.831684	1596	2071	1857	993	1060	394	798	155	310	1086	385	638	153	203	210	10	15	16	0	34	10	29	20	20	26	28	71	0	2	2	12	4	14	4	12	2	24	34	57	16	15	17	0	4	34	0	0	2	0	1	0	0	0	0	0	3	2	125	71	47	66	46	45	30	41	11	29	2	14
139537_S33_NODE_770_length_33835_cov_6.754026	1164	1444	1247	996	1076	311	365	27	38	170	125	108	6	7	0	0	0	0	0	0	0	2	0	1	0	0	0	12	1	14	2	1	1	0	0	0	53	61	81	3	8	2	0	0	0	31	44	32	18	27	26	0	0	0	216	161	368	36	17	22	0	0	0	4	0	0	0	0	0
139537_S33_NODE_781_length_33536_cov_13.816105	4554	4782	4281	6475	5904	2214	2377	291	740	3313	2048	2924	956	1313	952	1159	1882	1017	133	122	65	203	93	85	234	131	237	54	5	46	53	44	22	5	24	10	6	4	19	2	3	11	4	0	12	2	0	3	0	0	0	0	0	0	2	0	2	8	12	18	0	0	2	54	36	21	32	2	9
139537_S33_NODE_985_length_29602_cov_6.156496	991	1419	1266	3211	3509	1115	1585	195	469	1187	710	1193	812	1108	1300	7	4	4	49	423	210	323	214	256	19	26	40	1	2	6	78	120	75	6	21	9	2403	3117	1544	543	561	772	14	5	28	27	6	32	13	16	14	0	5	1	23	13	39	251	186	38	32	21	26	25	75	56	43	1	10
139537_S33_NODE_1276_length_25720_cov_6.311241	1013	1356	1223	4120	3992	1779	2272	90	271	456	136	193	79	86	79	0	43	30	947	698	487	628	541	586	84	35	102	127	20	78	61	98	71	14	92	41	17	5	16	22	18	33	10	18	161	116	118	138	103	152	314	21	24	41	0	1	1	0	0	0	3	3	2	893	506	29	336	46	61
139537_S33_NODE_2547_length_17034_cov_3.687379	472	684	581	58	48	23	26	5	4	140	106	148	278	423	363	8	0	0	4	10	16	16	8	23	2	4	3	0	0	0	10	22	11	3	2	2	51	58	32	35	36	36	1	0	6	0	0	0	1	0	1	6	8	6	2	0	0	13	8	9	10	5	3	10	11	17	0	0	0
139538_S35_NODE_614_length_35901_cov_6.225186	1272	1562	1472	1113	1132	333	362	21	66	192	190	130	0	2	4	0	0	0	3	1	0	2	0	0	0	0	0	20	7	24	1	4	2	0	0	0	90	78	102	2	0	2	0	0	0	75	72	63	11	15	11	2	2	0	239	145	253	27	8	13	0	0	0	0	0	0	0	0	0
139538_S35_NODE_667_length_33864_cov_3.673105	980	1255	1302	126	126	35	81	21	44	161	209	270	587	586	619	37	11	24	28	41	23	74	69	57	260	226	148	5	8	13	89	211	130	46	69	35	452	397	394	300	474	434	64	91	263	6	0	4	3	5	5	16	15	15	8	3	6	10	2	6	0	1	8	111	140	76	113	73	64
139538_S35_NODE_1056_length_26754_cov_4.904528	1168	1432	1329	852	1052	376	600	62	159	618	244	423	159	189	194	0	2	6	109	98	44	57	32	32	5	10	20	0	2	11	13	10	16	0	2	0	5	1	10	8	2	2	0	0	10	0	0	0	0	0	1	0	0	0	3	6	4	18	19	7	4	6	5	42	40	13	10	2	0
139538_S35_NODE_1274_length_24197_cov_5.274377	998	1353	1259	2850	3182	1440	2410	470	968	88	11	31	84	96	122	7	4	15	1	18	7	73	28	65	99	72	102	0	2	1	377	558	265	47	102	24	223	255	144	252	315	551	20	62	354	3	4	10	13	18	19	5	7	15	6	0	2	115	92	25	59	38	35	167	619	261	116	21	93
139538_S35_NODE_1999_length_18667_cov_6.094885	545	781	772	883	969	386	601	94	155	640	265	399	100	135	190	2	1	3	306	211	229	90	12	35	4	15	24	5	6	16	86	100	57	3	8	0	198	136	236	71	108	174	2	10	65	2	0	4	1	2	5	0	2	2	65	15	12	60	48	26	30	13	23	150	252	43	6	2	0
139539_COM_NODE_39_length_195787_cov_11.063194	28	6	8	16145	14596	7349	29656	23249	44006	26	10	8	2074	1997	2711	745	1715	1327	0	8	0	113	12	18	772	212	529	8	10	4	2193	1409	1065	664	940	1714	102	109	155	526	520	974	725	335	1722	2	2	7	8	39	59	396	869	1957	19	23	45	3064	1764	1717	808	504	514	705	1131	436	702	357	748
139539_COM_NODE_42_length_182366_cov_15.524318	7859	7468	6287	29398	19911	8768	10207	1156	2745	4283	1877	1841	1099	1638	1528	389	800	949	27	80	20	124	71	41	98	19	61	2004	1779	3964	1380	1239	553	16	18	55	8976	11923	17648	4652	2371	8717	74	27	224	2033	1337	2577	2178	1513	1730	122	220	225	3188	2247	3925	2074	1150	2063	142	92	94	820	416	235	5	5	24
139539_COM_NODE_96_length_127957_cov_41.143547	22489	7532	5701	35782	32391	11225	15730	286	788	30867	11152	9011	1042	2776	1714	637	2008	849	417	3550	808	2602	747	712	636	126	371	651	823	1331	1029	1053	141	4	11	25	2223	1771	3010	325	122	1183	48	7	83	1560	475	3109	371	287	331	6	41	79	1219	1033	2112	3594	1372	2096	486	331	335	336	465	62	12	3	30
139539_COM_NODE_164_length_96810_cov_22.400827	15485	12512	11641	22026	21564	7680	11370	1183	2301	1162	464	591	152	164	156	103	162	172	7	15	17	20	9	8	48	12	35	172	35	181	351	306	139	0	7	1	6892	5581	6397	345	265	881	33	5	91	1188	405	2030	233	223	153	10	29	31	109	72	131	105	39	84	45	38	36	155	131	33	0	0	5
139539_COM_NODE_168_length_96245_cov_29.324161	0	0	0	29297	31389	14050	66531	62199	126801	54	8	18	56	121	209	238	811	543	0	2	0	85	14	6	163	428	1125	0	0	0	23	39	17	28	290	97	1	2	0	2	2	12	47	58	383	0	0	0	0	0	0	4	1	5	0	2	2	11	11	2	90	39	47	70	77	2	371	108	96
139539_COM_NODE_336_length_72258_cov_8.389638	332	263	207	6343	6597	2839	4160	760	1465	1805	107	345	50	82	79	19	173	59	0	29	2	73	16	7	66	30	74	2	2	0	86	51	0	0	27	37	2309	1097	5895	418	160	5847	95	8	145	80	32	272	33	34	88	6	8	36	92	85	294	338	102	100	91	87	68	58	59	0	26	17	24
139539_COM_NODE_431_length_63585_cov_5.125374	0	0	0	3397	2854	2475	19845	17872	34477	0	0	1	0	4	2	26	156	59	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	11	18	14	15	2	0	0	0	0	0	0
139539_COM_NODE_461_length_61475_cov_6.095181	404	445	446	3885	3681	1779	2334	80	210	360	33	67	6	6	10	4	15	4	2	1	0	0	5	0	2	2	14	0	0	0	2	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0
139539_COM_NODE_598_length_54357_cov_10.725277	82	43	15	5979	4393	1510	1716	97	218	30	10	15	4	5	7	2	23	29	0	0	0	4	0	0	2	0	0	0	0	0	4	0	2	0	2	4	94	99	303	30	6	124	7	2	15	0	0	0	0	2	0	0	1	5	27	21	67	66	29	40	43	19	11	6	3	2	0	0	2
139539_COM_NODE_672_length_51385_cov_4.850770	117	130	72	2588	1993	819	1106	244	499	329	20	36	59	95	94	6	126	168	6	8	4	1	6	4	19	14	32	0	0	1	6	5	6	2	8	4	0	0	0	3	0	7	0	2	5	4	4	4	2	7	4	2	0	0	38	24	51	163	57	76	16	10	5	10	8	10	2	0	2
139539_COM_NODE_717_length_49975_cov_11.612400	551	601	462	6039	6450	2440	4247	1027	1970	1009	483	684	294	380	332	13	13	52	31	157	158	304	116	117	115	87	216	37	6	9	92	140	101	17	25	31	222	222	148	33	49	72	7	21	60	9	3	23	7	6	19	0	1	0	3	5	4	38	12	1	17	22	14	28	149	35	33	2	19
139539_COM_NODE_730_length_49445_cov_6.770338	0	0	0	3484	386	361	419	49	244	2	0	0	0	0	0	0	22	19	0	0	0	0	0	0	8	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	32	12	17	0	0	0	4	0	4
139539_COM_NODE_839_length_45440_cov_5.425383	0	0	0	2403	2236	1224	1696	678	1038	14	0	0	41	54	84	45	306	64	0	0	0	17	0	2	1	23	33	0	3	1	28	13	4	7	14	8	3	3	6	16	11	14	8	9	34	0	4	1	0	0	2	6	11	25	120	203	175	427	213	362	33	49	51	34	21	4	11	2	0
139539_COM_NODE_923_length_42884_cov_4.141259	6	12	12	1847	1676	763	1092	203	423	354	53	160	113	134	144	3	135	34	12	2	2	81	27	21	12	8	6	0	0	0	2	0	0	0	2	0	0	0	2	0	0	2	0	2	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	2	0	0	0	0
139539_COM_NODE_994_length_41223_cov_34.173994	745	797	737	14016	12790	5756	7739	121	265	2073	275	420	159	279	238	36	206	246	5	14	0	40	11	1	62	35	80	1	1	0	0	0	0	0	2	3	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	12	28	22	111	27	45	103	56	67	11	7	0	6	1	9
139539_COM_NODE_1013_length_40971_cov_6.625745	602	548	487	2839	2510	1357	2114	508	989	1597	142	251	50	63	60	16	502	113	18	40	13	136	18	12	57	49	163	23	22	18	52	22	13	0	37	34	211	191	273	63	55	172	6	6	99	9	14	30	3	5	21	2	1	0	6	14	18	38	18	27	20	9	3	142	80	0	35	55	38
139539_COM_NODE_1014_length_40947_cov_17.523550	2126	2685	2522	7385	7741	2870	3832	300	631	186	90	204	249	271	224	31	55	29	20	7	2	7	12	5	2	0	2	622	599	811	288	366	468	4	20	0	156	94	165	22	27	40	0	0	4	2	1	0	5	4	12	0	0	2	148	227	131	38	27	29	5	8	4	430	206	198	4	0	2
139539_COM_NODE_1273_length_36226_cov_4.285698	0	0	0	1605	1463	684	1005	52	91	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139539_COM_NODE_1345_length_35008_cov_7.084599	240	324	309	2609	2819	1034	1263	60	181	194	110	137	377	573	546	2	7	4	16	32	47	50	41	40	20	21	51	0	0	1	7	11	3	1	1	0	109	107	110	97	123	132	2	4	18	7	0	3	6	10	3	1	3	2	2	0	2	0	4	5	6	0	1	1	7	2	10	0	0
139539_COM_NODE_1376_length_34606_cov_8.889844	382	418	401	3216	3204	1151	1927	457	932	235	71	167	44	48	30	11	22	6	4	2	2	14	11	2	22	23	39	4	0	0	98	123	82	8	27	11	385	312	276	378	515	648	224	237	1095	80	96	175	174	227	488	23	52	37	4	0	6	23	26	15	12	6	11	60	210	102	15	4	25
139539_COM_NODE_1427_length_33826_cov_4.554529	180	212	123	1603	2033	389	397	54	118	643	286	331	128	221	165	11	16	95	17	26	10	65	29	14	26	41	59	15	6	19	15	11	9	2	4	4	40	41	33	9	11	26	0	3	4	0	0	0	0	0	0	0	0	5	8	4	20	72	68	46	13	7	14	12	10	3	13	6	2
139539_COM_NODE_1505_length_32693_cov_9.053527	1196	1366	1204	2247	2423	833	1185	243	509	897	315	628	340	485	391	4	0	14	37	190	120	112	46	47	8	14	15	0	0	2	13	10	10	0	0	1	21	27	27	4	5	10	0	0	0	94	24	99	34	37	52	0	2	0	49	16	40	135	103	40	30	36	40	2	9	3	2	2	0
139539_COM_NODE_1506_length_32689_cov_4.827603	183	240	256	1676	1730	635	723	34	104	43	22	44	26	25	52	2	6	0	6	1	0	2	2	4	0	0	6	24	4	1	1	0	3	0	1	0	4	10	7	2	4	2	0	3	0	2	4	6	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	0
139539_COM_NODE_1516_length_32572_cov_6.239844	60	63	57	1897	1883	788	1332	577	1162	198	117	318	199	365	500	5	21	65	134	133	40	221	158	92	66	135	105	43	4	29	163	272	179	72	313	133	28	55	23	38	57	75	110	168	593	7	11	7	7	19	25	3	0	4	64	33	99	53	33	58	6	8	5	222	248	61	146	30	33
139539_COM_NODE_1535_length_32338_cov_5.067992	0	0	0	1167	1166	463	878	523	1018	2	1	0	51	62	50	9	109	37	0	1	0	9	0	0	6	9	11	0	0	0	4	0	6	1	4	3	0	0	0	0	0	0	0	0	10	0	0	1	0	4	2	3	12	46	0	2	0	17	10	33	5	10	3	10	9	0	1	4	4
139539_COM_NODE_1553_length_32119_cov_4.340039	335	336	338	1465	1786	644	718	21	38	196	124	239	418	708	571	24	42	169	74	66	38	667	352	419	437	547	639	311	83	273	689	569	661	329	536	355	0	0	0	13	5	13	5	17	91	1	6	5	10	19	23	34	17	42	5	2	3	0	0	1	0	0	3	818	501	249	1163	198	273
139539_COM_NODE_1568_length_31940_cov_3.630265	141	172	157	1234	1140	564	873	317	583	388	56	92	63	28	48	16	133	49	41	17	14	40	18	7	31	36	31	104	49	44	72	55	25	2	4	2	575	404	544	104	157	275	5	15	74	183	179	221	88	123	243	19	30	30	127	102	151	187	87	108	45	22	26	98	57	14	10	7	3
139539_COM_NODE_1625_length_31322_cov_5.319090	314	346	292	1217	1242	369	499	31	88	2	2	2	56	112	84	5	0	18	0	0	0	9	8	3	13	27	12	0	0	0	41	96	52	25	45	16	11	15	6	15	16	27	8	22	54	0	1	0	0	0	3	1	3	6	0	0	0	26	26	5	0	2	3	3	56	37	45	8	46
139539_COM_NODE_1650_length_31040_cov_5.771567	136	173	149	1875	1700	823	1190	152	299	139	59	160	9	5	16	2	22	0	0	0	0	11	0	0	12	24	42	0	0	0	0	0	0	8	8	6	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	7	0	13	2	0
139539_COM_NODE_1654_length_30993_cov_13.863437	954	1108	1143	4064	4286	1212	1974	336	729	409	277	502	855	997	861	14	9	48	51	272	171	169	135	169	13	24	50	2	0	0	32	29	26	8	15	6	80	92	142	40	30	38	9	7	25	257	98	220	138	190	296	3	4	0	24	19	31	249	211	68	22	14	23	11	33	40	11	0	13
139539_COM_NODE_1700_length_30454_cov_4.719497	68	70	60	1516	1497	673	1025	164	248	34	18	15	2	2	4	0	27	14	0	0	0	0	0	0	5	2	19	0	0	0	0	0	0	0	2	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6	4	2	2	2	1	0	0	2	0	0	0	0	0
139539_COM_NODE_1702_length_30425_cov_13.611492	15	25	28	3727	3855	1366	1975	92	148	626	154	256	135	197	196	2	25	15	488	886	768	780	207	192	35	53	140	18	5	18	20	29	11	6	26	19	113	55	79	6	25	36	3	3	17	105	138	141	80	108	151	15	18	36	17	11	10	28	26	18	6	2	12	144	126	6	68	8	8
139539_COM_NODE_1739_length_30027_cov_4.885493	78	73	63	1592	1361	674	914	115	197	80	2	7	0	0	2	6	33	7	0	0	0	8	0	0	0	4	14	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	11	6	0	6	0	4
139539_COM_NODE_1752_length_29887_cov_11.038147	318	371	302	3394	2962	1004	1421	201	421	56	40	58	40	43	25	12	31	122	0	2	0	4	4	0	2	6	2	4	0	2	8	7	6	0	4	0	831	537	684	237	201	495	9	0	25	458	215	550	332	381	444	6	8	15	0	0	0	21	2	2	5	4	4	6	4	0	0	0	0
139539_COM_NODE_1764_length_29778_cov_14.441510	283	263	290	3148	3606	1329	3423	1837	3774	206	108	106	289	337	323	20	17	38	0	5	6	19	14	17	51	61	123	1	0	1	41	41	30	906	853	862	5	6	10	150	120	246	117	211	845	3	2	5	0	3	4	27	17	47	0	1	0	11	4	2	2	2	3	48	130	95	1065	176	808
139539_COM_NODE_1803_length_29542_cov_15.245227	1542	1776	1573	4713	4497	1713	1857	206	401	804	552	692	245	314	291	69	63	279	13	2	7	53	12	6	30	40	84	0	0	0	0	2	0	12	4	4	2	0	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	2	0	0	6	2	2	23	2	6
139539_COM_NODE_1820_length_29377_cov_7.501842	930	1093	958	2307	2217	851	1147	483	1057	519	379	573	95	120	130	37	134	143	125	59	34	66	22	25	42	18	47	9	8	10	5	0	2	0	2	0	0	2	0	0	0	0	0	0	0	15	7	32	2	11	5	1	0	0	136	92	89	208	178	168	87	46	84	4	0	0	16	4	0
139539_COM_NODE_1836_length_29197_cov_5.734301	31	35	36	1278	998	587	929	253	372	93	14	35	10	14	14	1	25	9	9	6	4	14	7	1	1	5	27	37	18	37	90	85	36	0	11	1	12	6	13	1	8	5	3	4	59	17	7	16	0	5	2	3	0	0	11	3	12	21	8	8	10	4	8	853	499	19	8	4	5
139539_COM_NODE_1861_length_28967_cov_19.958287	556	507	571	3921	4054	1610	2170	25	72	521	161	264	107	153	121	7	4	31	105	158	75	155	63	84	13	32	83	6	4	3	9	5	4	2	7	1	22	4	11	2	0	4	0	2	0	1	2	3	5	5	5	0	0	2	0	0	1	2	2	2	2	4	1	34	31	2	17	3	2
139539_COM_NODE_1882_length_28822_cov_21.937672	1145	1335	1134	6541	6818	2895	4164	98	246	1621	498	675	893	1208	1043	5	16	35	182	1241	1358	930	532	589	37	105	288	13	27	23	219	223	208	12	21	10	8	12	12	0	4	5	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	408	85	28	0	6
139539_COM_NODE_1887_length_28780_cov_6.670496	34	25	18	2041	1706	802	790	108	187	441	46	102	12	8	17	0	17	4	0	2	3	67	7	2	8	17	52	0	0	0	3	4	0	4	20	2	0	0	4	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	27	0	15	2	7
139539_COM_NODE_1899_length_28686_cov_7.993958	201	260	263	2264	2304	972	1605	387	673	41	1	40	30	45	42	7	6	9	4	8	2	5	8	4	8	13	9	0	2	1	20	37	16	7	5	10	9	8	15	10	15	43	9	11	28	2	1	1	3	3	4	13	16	22	3	0	1	22	10	2	2	6	2	3	60	36	20	2	24
139539_COM_NODE_2064_length_27425_cov_6.022178	621	786	770	1718	1950	612	994	172	349	25	33	50	47	52	33	10	3	6	4	13	5	3	17	18	3	5	4	0	0	0	1	4	2	6	5	3	158	126	115	13	9	32	2	0	3	29	21	31	12	15	19	3	6	1	1	0	0	11	10	2	9	14	18	0	4	5	14	3	22
139539_COM_NODE_2159_length_26625_cov_8.844787	73	85	78	1520	1366	600	509	28	49	803	264	611	82	112	121	4	6	13	5	49	35	144	53	31	15	62	119	0	1	0	15	7	5	3	29	4	5	7	1	7	7	9	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	11	2	63	3	9
139539_COM_NODE_2217_length_26086_cov_12.824479	272	292	258	3279	2886	1329	1778	254	444	180	58	162	9	19	15	31	82	15	9	2	0	27	1	1	0	30	45	20	13	28	12	6	5	2	7	0	192	88	131	5	3	47	2	1	27	4	0	10	0	2	1	0	0	1	3	0	3	13	2	6	17	11	14	40	23	4	15	2	0
139539_COM_NODE_2264_length_25765_cov_5.260327	118	164	184	1417	1311	563	1002	285	520	198	60	120	18	38	27	2	3	12	0	0	3	26	2	0	8	9	29	2	0	0	8	8	6	1	1	2	24	7	8	7	3	21	3	9	37	0	1	0	3	0	1	2	1	2	4	6	6	11	8	3	4	2	2	13	6	0	15	2	3
139539_COM_NODE_2529_length_24001_cov_37.550864	573	768	769	5871	6157	2398	4579	1916	3838	12	2	9	37	55	76	263	325	789	0	0	0	12	9	8	136	94	115	0	0	0	25	22	24	202	212	174	2	1	0	407	529	522	901	1323	2303	0	1	0	1	3	3	23	15	14	0	0	0	0	1	2	3	3	1	93	70	58	82	36	57
139539_COM_NODE_2563_length_23848_cov_11.587147	548	667	673	1624	1745	500	748	116	215	635	293	473	350	448	514	15	21	128	192	212	110	215	196	222	49	29	36	4	3	8	16	24	14	1	1	6	165	179	285	61	42	79	2	0	6	0	1	11	2	9	6	6	4	0	24	2	22	60	57	16	3	3	8	16	15	5	5	2	8
